Date,Open,High,Low,Close,Volume,Market Cap
Jan-27-2023,23071.4588,23180.18846,22896.0926,23007.4396,62781856583,4.42401E+11
Jan-26-2023,23018.1861,23408.25482,22630.0293,23051.2708,74589340814,4.41867E+11
Jan-25-2023,23075.99594,23241.72719,22890.2856,23007.8352,94982498162,4.43278E+11
Jan-24-2023,22633.85278,23718.1854,22366.5718,23125.7229,82625725355,4.36292E+11
Jan-23-2023,22917.8383,23150.6889,22569.1259,22614.65844,79571624078,4.41264E+11
Jan-22-2023,22717.532,23139.66022,22667.965,22944.9201,73343525504,4.38705E+11
Jan-21-2023,22777.8509,23052.145,22368.6486,22723.9532,79716701625,4.38228E+11
Jan-20-2023,22667.3593,23304.14817,22506.41638,22751.6074,1.01034E+11,4.39682E+11
Jan-19-2023,21074.94553,22687.3555,20919.9508,22665.7507,64447751467,4.09361E+11
Jan-18-2023,20669.59581,21157.11993,20666.8001,21082.0582,77983080988,4.00658E+11
Jan-17-2023,21136.70788,21549.6846,20545.96973,20686.51042,58478858169,4.05901E+11
Jan-16-2023,21183.01845,21443.70273,20959.50244,21157.18961,51515154112,4.07282E+11
Jan-15-2023,20874.78748,21410.3251,20728.0661,21171.04828,60636932850,4.04249E+11
Jan-14-2023,20951.2141,20995.26723,20577.7361,20856.05839,63212388594,3.99291E+11
Jan-13-2023,19921.96716,21149.5971,19921.96716,20983.9756,1.05422E+11,4.00016E+11
Jan-12-2023,18851.0079,19975.9469,18732.6096,19913.72947,81808386802,3.66524E+11
Jan-11-2023,17943.63093,19028.6547,17924.50069,18858.6646,72766611570,3.52447E+11
Jan-10-2023,17439.74515,17939.3625,17333.66686,17939.3625,43812401707,3.35425E+11
Jan-09-2023,17179.14283,17487.8535,17159.3098,17435.75165,45095406948,3.32211E+11
Jan-08-2023,17114.08109,17390.39293,17114.08109,17194.77873,40370843456,3.3123E+11
Jan-07-2023,16943.76168,17070.57451,16919.17723,17070.57451,21776089963,3.25635E+11
Jan-06-2023,16951.15832,16974.4015,16909.74677,16944.5396,34306384469,3.25462E+11
Jan-05-2023,16831.1192,17005.49708,16707.85103,16953.97207,34958072839,3.23401E+11
Jan-04-2023,16852.13279,16877.1266,16781.4648,16828.8464,38960056725,3.23447E+11
Jan-03-2023,16674.5087,16973.38119,16658.43394,16857.28271,39384163470,3.23386E+11
Jan-02-2023,16673.74875,16763.44729,16616.63238,16675.90904,29648327502,3.20717E+11
Jan-01-2023,16617.2544,16758.52531,16560.09073,16677.44994,24859666802,3.20706E+11
Dec-31-2022,16537.4542,16621.1651,16507.3906,16607.06946,23508784398,3.18167E+11
Dec-30-2022,16608.07087,16632.8997,16495.87373,16538.3479,34065336177,3.18391E+11
Dec-29-2022,16636.99312,16639.84355,16379.5325,16603.75195,36451566841,3.18011E+11
Dec-28-2022,16547.53492,16655.07028,16503.1955,16641.44486,41785365276,3.1883E+11
Dec-27-2022,16706.2494,16762.0146,16488.7629,16549.98327,38602978212,3.19714E+11
Dec-26-2022,16919.82303,16963.00298,16631.43,16706.45971,31444051214,3.22923E+11
Dec-25-2022,16832.92337,16911.64997,16804.83979,16908.94843,26543512370,3.23775E+11
Dec-24-2022,16836.196,16849.6872,16739.6511,16829.9184,21982382836,3.23159E+11
Dec-23-2022,16779.5308,16853.5422,16779.5308,16833.8821,20626954276,3.23407E+11
Dec-22-2022,16819.7954,16903.32652,16772.50272,16780.46368,35636481444,3.23385E+11
Dec-21-2022,16818.78091,16859.2589,16572.0123,16822.06214,33312386965,3.22423E+11
Dec-20-2022,16901.38001,16921.02808,16740.439,16806.4165,42938911495,3.23371E+11
Dec-19-2022,16441.86651,16994.6028,16408.6775,16902.54219,50421339947,3.22616E+11
Dec-18-2022,16741.11829,16801.15008,16366.3141,16424.79671,29555712498,3.2048E+11
Dec-17-2022,16779.0901,16820.63769,16677.74537,16750.76581,25538438677,3.21548E+11
Dec-16-2022,16636.47029,16785.8923,16594.00093,16785.8923,46630829170,3.20863E+11
Dec-15-2022,17358.52252,17513.9378,16529.29736,16608.4932,47661468459,3.28532E+11
Dec-14-2022,17794.87527,17843.0862,17306.06562,17339.45827,56261667200,3.37849E+11
Dec-13-2022,17779.86762,18329.45017,17710.38765,17799.16897,53775197070,3.43459E+11
Dec-12-2022,17202.4905,17932.4687,17097.2124,17766.35055,41107035769,3.35677E+11
Dec-11-2022,17089.44609,17220.81454,16882.27289,17220.81454,27210991609,3.26657E+11
Dec-10-2022,17129.86355,17253.1914,17080.09215,17091.91654,19589911019,3.29675E+11
Dec-09-2022,17128.16109,17216.17461,17105.50512,17114.34059,25743383676,3.29719E+11
Dec-08-2022,17226.67597,17272.18749,17081.5468,17123.38673,34491913202,3.30279E+11
